admin	clusterMAQ	pipeline	inputfile	input	inputfile	file	--inputfile		essential					
admin	clusterMAQ	pipeline	outputdir	input	outputdir	directory	--outputdir	%project%/%workflow%	essential	dir	Absolute path to directory containing reference_sequences.2bpb, .idx and .vld files	inputs.acefile.value	acefile	var outputdir = acefile; outputdir = outputdir.replace(//[/]+$/, ""); return outputdir;
admin	clusterMAQ	pipeline	referencefile	input	referencefile	file	--referencefile		required					
admin	clusterMAQ	pipeline	sortedfile	output	sortedfile	file		%project%/%workflow%/s_1_1_sorted.txt	required					
admin	deepvac.pl	utility	downloaddir	input	downloaddir	directory	--downloaddir	%project%/%workflow%/download	required		Files are downloaded to this directory			
admin	deepvac.pl	utility	filter	input	filter	string	--filter		optional		Download only filenames containing this name fragment			
admin	deepvac.pl	utility	regex	input	regex	string	--regex		optional		Download only filenames matching this regex			
admin	deepvac.pl	utility	url	input	url	string	--url		required		URL of FTP site or link to file on web page			
admin	ELAND	alignment	clean	input	clean	flag	--clean		optional		Clean run (remove old splitfile)			
admin	ELAND	alignment	inputfile	input	inputfiles	files	--inputfile	%project%/%workflow%/s_1_1_sequence.fastq	essential		Solexa FASTQ format sequence file			
admin	ELAND	alignment	inputtype	input	inputtype	string	--inputtype	fastq	required		Type of input sequence. Valid inputs: fastq, fasta, export or qseq			
admin	ELAND	alignment	outputdir	input	outputdir	directory	--outputdir	%project%/%workflow%	required		Print ELAND alignment files to this directory (will create the directory if it does not exist)			
admin	ELAND	alignment	pairedfile	input	pairedfile	file	--pairedfile		optional		Paired-end mate file (e.g., s_1_2_sequence.fastq)			
admin	ELAND	alignment	pairparams	input	pairparams	string	--pairparams		optional		Paired read analysis parameters to pass to pickBestPair. Default: '--circular' (treats all chromosomes as circular).			
admin	ELAND	alignment	quality	input	quality	integer	--quality		optional		Quality value of all bases in fasta mode (Default: 30)			
admin	ELAND	alignment	reads	input	reads	integer	--reads		optional		Number of reads per sub-file			
admin	ELAND	alignment	referencedir	input	referencedir	directory	--referencedir	%project%/%workflow%	required		Directory containing squashed reference genome files			
admin	ELAND	alignment	seedlength	input	seedlength	integer	--seedlength		optional		Length of read used for ELAND alignment (Default: min. of seedlength and 32)			
admin	ELAND	alignment	splitfile	input	splitfile	file	--splitfile		optional					
admin	eland2ace.pl	converter	inputfile	input	inputfile	file	--inputfile		required	ace		output.sortedfile.value		
admin	eland2ace.pl	converter	outputdir	input	outputdir	directory	--outputdir	%project%/%workflow%/dummy	required	dir		input.outputdir.value		
admin	eland2ace.pl	converter	outputfile	output	outputfile	file			Discretion	ace		input.inputfile.value	inputfile	return inputfile.replace(/.txt/, '.ace');
admin	SAV	pipeline	queue	input	queue	string	--queue	gsmall	required		Cluster job queue name			
admin	SAV	pipeline	outputdir	output	outputdir	directory	--outputdir	%project%/%workflow%	required		Directory with one subdirectory per reference chromosome, each containing an out.sav output file	input.inputdir.value		
admin	image2eland.pl	pipeline	inputfile	input	inputfile	file	--inputfile		essential					
admin	image2eland.pl	pipeline	outputdir	input	outputdir	directory	--outputdir	%project%/%workflow%	essential					
admin	image2eland.pl	pipeline	outputfile	output	outputfile	file	--outputfile		required					
